Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Albania,0.00039052046153345706,0.17373737373737375,0.5325077399380804,0.3048628428927681,0.33098591549295775,0.46153846153846156,0.6875,0.8306709265175719,0.75,0,1.3420938720611801,2.7297093880560337,O+,B-
Algeria,0.0056012619190608185,0.29292929292929293,0.4953560371517028,0.3204488778054863,0.2640845070422535,0.5076923076923077,0.2875,0.3514376996805112,0.625,1,1.3728187149287356,1.7716300073728188,AB+,AB-
Argentina,0.005846015951611501,0.47272727272727266,0.5430340557275541,0.10224438902743144,0.13732394366197184,0.37692307692307697,0.395,0.25559105431309903,0.20833333333333334,2,1.25532966114423,1.2358474645695092,B+,A+
Armenia,0.00038366901545774083,0.07070707070707061,1.0,0.22693266832917708,0.35915492957746475,0.15384615384615385,0.4625,0.3194888178913738,0.33333333333333337,3,1.6567946686137123,1.269168305070861,O+,A+
Australia,0.0032713158488944364,0.2525252525252525,0.5572755417956656,0.22693266832917708,0.24647887323943662,0.5384615384615385,0.75,0.6389776357827476,0.8333333333333334,4,1.283212335889532,2.7607725075776197,B+,AB-
Austria,0.0011347646613274409,0.09090909090909083,0.7120743034055728,0.22693266832917708,0.31690140845070425,0.46153846153846156,0.875,0.6389776357827476,0.375,5,1.3468174710945449,2.350516097321209,O+,A-
Azerbaijan,0.001307978815678157,0.08686868686868687,0.4953560371517028,0.5105985037406484,0.5985915492957747,0.25384615384615383,0.425,0.7667731629392971,0.8333333333333334,6,1.6914147770568129,2.2789526501187845,O+,AB-
Bahrain,0.00018858889969441104,0.4642424242424241,0.1656346749226007,0.5576683291770574,0.2232394366197183,0.25153846153846154,0.16625,0.33226837060702874,0.20833333333333334,7,1.4107848649618007,0.9583901654788237,A+,B+
Bangladesh,0.021106864286371384,0.07494949494949488,0.38080495356037153,0.8852867830423938,0.6401408450704226,0.04076923076923077,0.06,0.19169329073482427,0.1416666666666667,8,1.9811820766226829,0.43412918817072177,O-,B+
Belarus,0.001209691602166322,0.13737373737373726,0.5139318885448918,0.32980049875311723,0.44366197183098594,0.4384615384615385,0.675,0.8626198083067093,1.0,9,1.4247680965027323,2.9760813467682476,O+,AB-
Belgium,0.0015028768866344802,0.2525252525252525,0.6191950464396285,0.11783042394014964,0.24647887323943662,0.5384615384615385,0.75,0.4792332268370607,0.8333333333333334,10,1.2360295961444674,2.6010280986319327,B+,AB-
